termins;definition;source
Реальная процентная ставка;процентная ставка, не отражающая влияние инфляции. Если эта ставка отрицательная, то инфляция выше, чем сумма полученных процентов, а это означает, что заимодавцы с течением времени теряют их покупательную способность.;empirix.ru
Реальный;экономические термины (показатели), которые содержат слово “реальный” рассчитаны с поправкой на инфляцию, чтобы исключить ее влияние. Важно, что часто эти показатели невозможно измерить точно (например, точный реальный обменный курс валюты неизвестен).;empirix.ru
Реальный ВВП;относительная мера объемов товаров и услуг, произведенных в отдельно взятой стране (в отличие от подтвержденной инфляции общей стоимости товаров и услуг, произведенных в стране).;empirix.ru
Реальный обменный курс;относительный показатель того, сколько товара/услуг можно приобрести за одну и ту же денежную сумму в разных странах, а также показатель того, является ли курс валюты страны переоцененным или недооцененным.Отрицательный реальный обменный курс показывает, что валюта потеряла в цене, то есть что на данную валюту невозможно купить столько же товара и услуг в других странах, сколько внутри этой страны. Положительный реальный обменный курс означает более дорогую валюту, то есть что на данную валюту можно купить больше в других странах, чем у себя дома.;empirix.ru
Реальный рост;относительная мера изменения объема товара и услуг, произведенных в стране (в отличие от номинального роста, на который оказывает влияние инфляция).;empirix.ru
Ревальвация валюты;повышение реального курса национальной валюты по отношению к другим валютам. К примеру, изменение курса USDNOK с 9 норвежских крон за американский доллар до 6 крон является ревальвацией норвежской кроны к доллару США. Ревальвация приводит к относительному удешевлению импорта и снижению доходов экспортеров, выраженных в национальной валюте.;empirix.ru
Резервы;сбережения страны, обычно удерживаемые в иностранной валюте или золоте. Страны могут продавать резервы и покупать собственную валюту, если они намерены поддерживать национальную валюту, что является обычной политикой в условиях кризиса платежного баланса.;empirix.ru
Ренко;способ отображения графика с целью фильтрации рыночного шума.;empirix.ru
Рентабельность;индикатор эффективности экономической деятельности, показывающий степень отдачи от вложенных средств. На корпоративном уровне показатели рентабельности используются для расчета отдачи от инвестиций в перспективные проекты. Частный трейдер может рассчитывать показатели рентабельности для разных торговых стратегий.;empirix.ru
Рефляция;ситуация, в которой стимулирующая денежно-кредитная политика способствует восстановлению экономики.;empirix.ru
Риск-менеджмент;распределение денег между разными инвестиционными инструментами с целью снижения рисков.;empirix.ru
Риск-менеджер;человек (или алгоритм), который отвечает за возможные риски, связанные с портфельными инвестициями.;empirix.ru
Робот;см. Советник.;empirix.ru
Робастность;(англ. robust) или “устойчивость” — относится к способности торговой стратегии демонстрировать последовательно хорошие результаты в разнообразных рыночных условиях. Робастная торговая стратегия — это такая, которая может адаптироваться и оставаться прибыльной в различных рыночных средах, включая бычьи рынки, медвежьи рынки и периоды высокой или низкой волатильности.;empirix.ru
Рынок фондовыйилирынок ценных бумаг;биржа (физическое место, например — Wall Street и биржа NYSE), где проводятся операции по покупке, продаже или первичному размещению ценных бумаг и других инструментов.;empirix.ru
Рыночная неэффективность;определенная характеристика рынка, на которой есть возможность заработать. Как правило, рынки эффективны, в связи с этим, поиск рыночных неэффективностей — главная задача любого трейдера.;empirix.ru
Свеча;вертикальный элемент ценового графика, содержащий 4 цены за определенный временной отрезок — см. также Цены OHLC. Свеча состоит из тела, которое образуют цены открытия и закрытия, а также теней — верхней и нижней. Размер тела и теней постоянно варьируется. Могут быть свечи вовсе без теней либо с очень узким телом.;empirix.ru
Свечной график имеет следующий вид. На нем зеленым цветом окрашены свечи, где период торгов окончился с ростом. Красным;с падением. Возможно также окрашивание в белый и черный цвет соответственно.;empirix.ru
Селл;(англ. sell) продажа финансового актива, сделка на продажу.;empirix.ru
Селл-лимит;(англ. sell-limit) отложенный ордер на продажу, находящийся выше рыночных цен.;empirix.ru
Селл-стоп;(англ. sell-stop, s/s) отложенный ордер на продажу, находящийся ниже рыночных цен.;empirix.ru
Сессия торговая;отрезок времени в пределах торгового дня, когда активен тот или иной финансовый центр или регион. Выделяют 3 основные сессии: азиатско-тихоокеанскую, лондонскую (европейскую) и нью-йоркскую (американскую).;empirix.ru
Сетап;(англ. setup) ценовая модель, пригодная для совершения сделки.;empirix.ru
Своп;(англ. swap) см. Овернайт.;empirix.ru
Система торговая;набор торговых правил, согласно которым совершаются сделки на рынке.;empirix.ru
Системный трейдинг;трейдинг, при котором входы и выходы из сделок осуществляются строго по заданным ранее правилам. Никакие интуитивные или иные методы управления сделками не допускаются. Системный трейдинг хоть и может использоваться вручную, но чаще всего, такие подходы автоматизируются и делегируются компьютеру.;empirix.ru
Скальпер;(англ. scalper) активный внутридневной трейдер, использующийскальпингв качестве торгового подхода.;empirix.ru
Скальпинг;(англ. scalping) вид краткосрочной внутридневной торговли на финансовых рынках, характеризующийся высокой частотой сделок и их небольшим размером.;empirix.ru
Смягчение (стимулирование);экономический курс, направленный на поддержку экономического роста. Обычно это происходит либо путем понижения процентных ставок, печати денег и увеличения государственных расходов, либо через изменение правил кредитования, из-за чего банки получают возможность выдавать больше кредитов. ;empirix.ru
Советник;(англ. expert advisor) торговый робот, компьютеризированный торговый алгоритм, запускаемый на платформе и выполняющий за трейдера все или отдельные торговые действия. Советники создают на языках программирования (популярные языки плюс MQL 4/5), а также в визуальных конструкторах, например,Visual JForex. Визуальное программирование торгового робота не требует от трейдера навыков программирования.;empirix.ru
Сопротивление;горизонтальный или наклонный ценовой уровень, удерживающий цену и не дающий ей расти дальше.;empirix.ru
Спекуляция;вид благородной деятельности на финансовых рынках, заключающийся в получении прибыли на разнице цен на финансовые активы.;empirix.ru
Спекулянт;вид благородного участника финансовых рынков, занимающегося спекуляциями.;empirix.ru
Спот;(англ. spot)тип расчета между покупателем и продавцом, когда сделка производится немедленно, в отличии от фьючерсов или опционов.;empirix.ru
Спред;(англ. spread) расстояние между ценами Бид и Аск.;empirix.ru
Спред бара;разница между хай и лоу свечи.;empirix.ru
Спрос;желание и возможность участника покупать инструмент по определенной цене.;empirix.ru
Стоп-лосс;(англ. stop-loss, sl) отложенный ордер, фиксирующий запланированный трейдером убыток.;empirix.ru
Стэйтмэнт;(англ. statement) статистика торговых результатов трейдера или фонда.;empirix.ru
Субординированная облигация;долговая ценная бумага, выпускаемая коммерческой организацией и находящаяся рангом ниже остальных ценных бумаг по очереди выплат в случае банкротства или ликвидации организации. Другими словами, при банкротстве или ликвидации организации выплаты сначала направляются в сторону акционеров компании, а уже после (в случае положительного остатка) держателям субординированных облигаций. В отличие от обычной облигации, которая считается одной из наиболее надежных ценных бумаг, субординированная облигация является более рисковой ценной бумагой за счет своей необеспеченности. К выпуску субординированных облигаций предъявляется меньше требований, чем к обычным облигациям. Субординированные облигации за счет повышенного риска предлагают более высокую доходность, чем обычные облигации.;empirix.ru
Счет текущих операций;раздел платежного баланса страны, отражающий экспорт и импорт, а также чистый доход от инвестиций и чистый объем трансфертных платежей. Если страна испытывает дефицит по счету текущих операций, это означает, что она больше совершает платежей за рубежом, чем получает денег из-за рубежа, что почти всегда происходит из-за того, что она импортирует больше товаров и услуг, чем экспортирует. Страна получает капитал/кредит из-за рубежа и/или использует свои сбережения за рубежом, чтобы профинансировать эти расходы. Обратной стороной ситуации является профицит счета текущих операций.;empirix.ru
Таймфрейм;(англ. timeframe) временной промежуток движения цен, отражаемый на графиках в виде одного вертикального элемента.;empirix.ru
Тейк-профит;(англ. take profit, t/p) дословно “взять профит”, отложенный ордер, фиксирующий запланированную трейдером прибыль.;empirix.ru
Тенденция;устойчивое направление движения цены. Называют также тренд. Направление трендов определяют с помощью трендовых индикаторов, например:SMA,EMA,MACDи других.;empirix.ru
Тикер;(англ. ticker) буквенный код (сокращенное название) биржевого или внебиржевого инструмента. К примеру: EUR (евро), BRN (нефть Brent), AAPL (Apple), MSFT (Microsoft) и т. д.;empirix.ru
Тик (англ. tick);обновление цены торгуемого на бирже инструмента. В отличие от пипса тик показывает не единицу изменения котировки, а сам факт изменения, который может произойти и на несколько пипсов в случае отсутствия встречных сделок между уровнями цен. К примеру, если на рынке происходит обновление цены с 105,005 до 105,008, минуя уровни 105,006 и 105,007 (на них не было объемов), то мы говорим, что цена изменилась на 3 пипса за 1 тик.;empirix.ru
Торговый терминал;программа, или некий софт, где трейдер совершает сделки на покупку или продажу финансовых инструментов. Самые популярные торговые терминалы: MetaTrader 4, 5, Quik, JForex.;empirix.ru
Транзакция;(англ. transaction) сделка между двумя участниками финансовых рынков.;empirix.ru
Трейдер;(англ. trader) дословно “торговец”, участник финансовых рынков, стремящийся заработать на разнице цен.;empirix.ru
Трейлинг стоп;(англ. trailing stop) уровень стоп-лосса, который автоматически следует за движением цены на заданном трейдером расстоянии в пунктах.;empirix.ru
Статья на эту тему;“Как трейлинг-стоп влияет на прибыльность”.;empirix.ru
Тренд;устойчивое направление цены либо вверх, либо вниз. Тренд вверх называется бычьим трендом, тренд вниз — медвежьим.;empirix.ru
Тренд считается значимой рыночной аномалией, благодаря которой можно получать прибыли на финансовых рынках. Подробнее об этом;в статье Тренд — лучшее, что вы можете использовать в своей торговле.;empirix.ru
Ужесточение;меры, принимаемые руководством страны, которые приводят к замедлению экономического роста. Например, увеличение процентных ставок, сокращение денежного предложения, снижение государственных расходов, изменение законодательства с целью ограничить банковское кредитование.;empirix.ru
Усреднение;способ управления позициями, при котором объем позиции увеличивается по мере движения цены в сторону против сделки, т.е. по мере увеличения убытка по позиции. Усреднение является одной из главных причин крупных убытков и не рекомендуется к применению (англ. averaging). Известна также поговорка “Losers average losers” (лузеры усредняют убыточные сделки).;empirix.ru
Управляющий капиталом;лицо, занимающееся торговлей доверенными ему денежными средствами за процент от полученной прибыли. Как правило, управляющий капиталом – это человек, имеющий одну или несколько сформированных стратегий торговли на финансовых рынках, который привлекает внешний капитал для увеличения отдачи от своих торговых идей.;empirix.ru
Участник финансовый;так называемый информированный игрок, в задачи которого входит инвестиции, спекуляции и другая профессиональная деятельность, связанная с рынками. К ним относятся хедж-фонды, брокеры-дилеры, центральные банки и т.д.;empirix.ru
Фиатная валюта;привычная валюта, которая используется в любом государстве. Такие валюты не привязаны к золоту или каким-либо другим активам.;empirix.ru
Фиксированный валютный курс;режим валютного курса, при котором государство старается поддерживать фиксированный курс национальной валюты по отношению к какой-либо планке (обычно это другая валюта или золото).;empirix.ru
Флэт;(англ. flat) дословно “плоский”, состояние рынка, при котором нет ярко выраженной тенденции.;empirix.ru
Фондовый рынок;(англ. stock market, equity market) централизованный биржевой рынок, на котором торгуются акции компаний определенной страны. Известные фондовые биржи: Нью-Йорк – NYSE, NASDAQ; Лондон – LSE; Токийская фондовая биржа и т.д.;empirix.ru
Форвард тест;(англ.forward test) тест торговой стратегии, симулирующий работоспособность на «будущих» временных диапазонах. Как правило, тестирование делится набэктести форвард тест. Бэктест показывает первоначальную статистику по ТС, форвард же необходим для подтверждения тенденции (прибыльной или убыточной) на бэктесте.;empirix.ru
Форвард или форвардный контракт (англ. forward);двухстороннее обязательство, предметом которого является купля-продажа реального актива в конкретный момент времени за конкретную цену. В отличие от фьючерса форвард чаще используется как внебиржевой инструмент, и он менее стандартизирован.;empirix.ru
Фьючерс или фьючерсный контракт (англ. future);контракт, согласно которому продавец фьючерса обязуется поставить покупателю фьючерса базовый актив по оговоренной цене в конкретную дату. К примеру, если заключить фьючерсный контракт на поставку 100 баррелей нефти на 30 июня по цене поставки в 40 долларов США за баррель, то вне зависимости от рыночной цены на 30 июня (она может быть, к примеру, 5 или 90 американских долларов за баррель), контракт необходимо исполнить по цене 40 долларов США за баррель в оговоренном объеме в 100 баррелей. В отличие от форварда фьючерс является биржевым инструментом, и он более стандартизирован.;empirix.ru
Хедж-фонд;(англ. hedge-fund) финансовый участник рынка, основной целью которого является получение прибыли на различных торговых площадках мира для себя и своих клиентов.;empirix.ru
Хеджер (англ. hedge;ограда) — лицо, занимающееся страхованием рисков. В роли хеджера может выступать предприятие, банк или другое частное лицо. На финансовых рынках хеджеров часто относят к специалистам по фьючерсным рынкам, которые занимаются страхованием рисковых позиций клиента с помощью приобретения производных финансовых инструментов (фьючерсы, форварды, опционы).;empirix.ru
Хеджирование (англ. hedge;ограда) — система мер по страхованию финансовых рисков. Хеджирование включает в себя открытие позиций на одном рынке с целью минимизации рисков неблагоприятного исхода по позициям, открытым на других рынках. В качестве рисков могут рассматриваться: валютные — изменение курса валют; кредитные — неспособность клиентов выплачивать свои обязательства; ценовые — изменение цен приобретенных активов; геополитические — изменение политических настроений в стране по отношению к другим странам; и другие.;empirix.ru
Холдинг;группа компаний, в которой присутствует организация (материнская компания), являющаяся владельцем других компаний группы и контролирующая их деятельность. Владение компанией происходит через владение акциями компании, доля которых позволяет материнской компании осуществлять в ней функции управления и контроля. Холдинг может состоять из разнопрофильных и не связанных друг с другом компаний.;empirix.ru
Цены OHLC;четыре цены, отражаемые на свечахилибарах. Это: открытие (open), максимум (high), минимум (low), закрытие (close). На бычьем баре (бар роста) цена закрытия всегда выше цены открытия. На медвежьем баре (бар падения) цена закрытия всегда ниже цены открытия.;empirix.ru
Ценная бумага;документ, удостоверяющий право его владельца на долю совокупного капитала, который был получен в результате первичного размещения ценных бумаг. Другими словами, ценная бумага показывает, какой частью капитала организации владеет конкретное лицо и на каких условиях оно может получить данный капитал. К ценным бумагам относят: акции, облигации, векселя, банковские сберегательные книжки, инвестиционные паи, сберегательные сертификаты, чеки, депозитарные расписки и другие. Права, даваемые ценной бумагой ее владельцу, имеют силу только в случае ее предъявления.;empirix.ru
Центральный банк;организация, которая отвечает за формирование и реализацию денежно-кредитной политики, обеспечение функционирования платежной системы и осуществление контроля за деятельностью финансового сектора страны или группы стран. Центральный банк наделен правом выпуска банкнот национальной валюты, благодаря чему он регулирует предложение денег в экономике. Центральный банк является кредитором последней инстанции, то есть обеспечивает коммерческие банки и другие финансовые организации денежной ликвидностью в чрезвычайных ситуациях или при отсутствии других кредиторов.;empirix.ru
Шорт;(англ. short) дословно “короткая сделка”, сделка на продажу.;empirix.ru
Эквити;(англ. equity) или “кривая доходности”. График, который показывает результативность роста (или падения) кривой доходности финансовой стратегии или инвестиционного портфеля.;empirix.ru
Экспозиция;чистый объем позиции в сторону лонг или шорт. Например: лонг 2000 EUR/USD и шорт 1000 EUR/JPY дают экспозицию 1000 EUR.;empirix.ru
Эмитент;компания или корпорация, которая выпускает акции или облигации от своего имени.;empirix.ru
Эмиссия ценных бумаг;законодательно регламентированная деятельность по размещению ценных бумаг на финансовых рынках. Целью эмиссии ценных бумаг является привлечение дополнительных денежных средств для реализации перспективных проектов или покрытия имеющегося долга. Как правило, эмиссия акций производится для удовлетворения текущих и близлежащих потребностей компании, в то время как эмиссия облигаций предполагает долгосрочное заимствование.;empirix.ru
